Spp,Reg,Latitude,Longitude,MonthMaxALA,MonthCollectionLabel,MonthsActivityALA,Batch,NameinHR
abno01,ANIC000025,-17.17,145.65,12,11,"01,11,12",original,NA
abno02,ANIC000031,-17.25,145.63,12,12,"01,11,12",original,NA
ambl01,PicXB64840,-33.73,151.08,12,10,"01,12",original,NA
ambl02,PicXB64844,-33.8,151.18,12,9,"01,12",original,NA
anom01,PicXB54397,-12.36,130.87,12,11,"01,11,12",original,NA
anom02,anom02,-19.23,146.09,12,12,"01,11,12",HR,anom2
anom03,ANIC057768,-12.35,130.88,12,11,"01,11,12",HR,anom1
atki01,PicXB33952,-16.41,145.2,5,1,"01,02,05,12",original,NA
atki02,PicXB33969,-16.41,145.2,5,1,"01,02,05,12",original,NA
atki03,atki03,-16.47,145.22,5,11,"01,02,05,12",HR,atki1
atki04,atki04,-15.03,145.09,5,5,"01,02,05,12",HR,atki2
aurs01,ANIC000244,-17.05,145.83,1,1,"01,11,12",original,NA
aurs02,ANIC000205,-17.05,145.83,1,1,"01,11,12",original,NA
aurs03,ANIC000260,-16.88,145.68,1,12,"01,11,12",HR,aurs1
aurs04,ANIC000261,-16.88,145.68,1,12,"01,11,12",HR,aurs2
boid01,ANIC000331,-16.62,145.2,1,1,"01,02,12",original,NA
boid02,ANIC000339,-17.05,145.8,1,12,"01,02,12",original,NA
boid03,ANIC000366,-16.92,145.77,1,1,"01,02,12",original,NA
boid04,ANIC000326,-17,145.43,1,11,"01,02,12",original,NA
boid05,ANIC000344,-23.72,150.7,1,12,"01,02,12",original,NA
brev01,ANIC000559,-13.82,131.83,5,3,"01,03,05",original,NA
brev02,ANIC000558,-13.82,131.83,5,3,"01,03,05",original,NA
brun01,ANIC000610,-32.97,150.67,1,1,"01,12",original,NA
brun02,ANIC000611,-32.97,150.67,1,1,"01,12",original,NA
brun03,ANIC000612,-32.97,150.67,1,1,"01,12",original,NA
brun04,ANIC000613,-33.38,150.98,1,12,"01,12",original,NA
brun05,ANIC000616,-32.97,150.67,1,1,"01,12",original,NA
brun06,ANIC000617,-32.97,150.67,1,1,"01,12",original,NA
brun07,ANIC000639,-33.25,150.67,1,11,"01,12",original,NA
brun08,ANIC000640,-31.4,152.12,1,2,"01,12",original,NA
brun09,ANIC000641,-28.77,151.85,1,1,"01,12",original,NA
brun10,ANIC000644,-28.77,151.85,1,11,"01,12",original,NA
brun11,ANIC000645,-28.77,151.85,1,11,"01,12",original,NA
brun12,ANIC000650,-31.45,152.73,1,1,"01,12",original,NA
clor01,ANIC000913,-30.6,151.55,1,1,"01,02,11,12",original,NA
clor02,ANIC000915,-30.6,151.55,1,1,"01,02,11,12",original,NA
clor03,ANIC000919,-30.52,151.67,1,1,"01,02,11,12",original,NA
clor04,ANIC000859,-35.4,149.1,1,12,"01,02,11,12",original,NA
clor06,ANIC000868,-28.77,151.85,1,11,"01,02,11,12",original,NA
clor07,ANIC000869,-28.77,151.85,1,11,"01,02,11,12",original,NA
clor08,ANIC000870,-28.77,151.85,1,11,"01,02,11,12",original,NA
clor09,ANIC000871,-28.77,151.85,1,11,"01,02,11,12",original,NA
